name,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,partner_8,partner_9,partner_10,partner_11,partner_12,partner_13,partner_14,partner_15,partner_16
Wood_DownSample_7.ply,1.5,2.5,2.0,1.5,3.0,3.5,2.5,3.0,3.0,2.5,1.5,2.5,3.0,3.0,2.5,2.0
SpiderMonkey_C2AI-lossy-geom-lossy-attrs_4.ply,4.5,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,5.0,4.5,5.0,4.5,4.0,4.0
WhiteTailedDeer_LocalOffset_3.ply,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
ToyDog_lossless-geom-nearlossless-attrs_6.ply,3.0,2.0,2.5,2.5,3.5,4.0,2.5,3.5,2.5,3.0,2.5,3.0,3.0,3.5,3.5,2.0
Duck_CorrelatedGaussianNoise_5.ply,3.5,3.0,2.0,3.0,3.0,3.5,3.0,3.5,3.0,3.0,3.0,3.5,3.0,3.5,3.5,3.0
Kangaroo_lossless-geom-lossy-attrs_5.ply,4.5,4.5,5.0,5.0,4.5,5.0,4.5,5.0,4.5,5.0,5.0,4.5,5.0,5.0,5.0,4.5
Handcream_ColorNoise_3.ply,4.5,3.5,4.5,4.0,5.0,4.5,4.0,5.0,4.0,3.5,4.0,5.0,4.0,4.0,4.0,4.0
Horse_GaussianNoise_1.ply,4.0,3.0,3.0,3.0,4.0,3.5,3.5,4.0,3.5,3.0,3.0,3.5,3.0,3.5,3.5,3.5
QQdog_ColorQuantizationDither_3.ply,4.5,4.0,5.0,5.0,4.5,4.5,4.0,5.0,4.0,3.5,4.0,4.0,4.0,4.5,4.0,4.5
Wood_Octree_2.ply,3.0,2.0,2.5,1.5,2.5,3.0,1.5,3.5,2.5,2.0,2.0,2.5,2.5,2.0,2.0,3.0
Duck_RayleighNoise_1.ply,4.5,5.0,5.0,5.0,4.5,4.0,4.5,4.5,4.5,4.0,4.0,4.5,5.0,4.0,4.5,4.5
exercise_losslessG-lossyA_5.ply,3.5,3.5,3.5,2.5,3.5,3.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.0
RyukinGoldfish_C2AI-lossless-geom-lossy-attrs_3.ply,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,4.5,5.0,5.0,4.5,4.0
PjanicFace_GammaNoise_4.ply,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.0,3.0,3.0,3.5,3.0,3.5,3.5,3.0
RpDennisPosed004_UniformNoise_5.ply,3.5,3.0,3.5,3.0,3.5,4.0,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.5
BB8New_LocalOffset_1.ply,3.5,4.5,4.5,5.0,2.0,5.0,3.0,3.0,4.5,2.5,4.0,3.0,3.0,3.0,3.0,3.0
RpManuelAnimated001Dancing_UniformShifting_1.ply,4.0,3.0,3.5,4.5,4.0,4.5,4.0,4.5,4.0,3.0,4.5,5.0,5.0,4.5,4.5,4.0
RpFabiennePercyPosed001_UniformShifting_3.ply,2.5,2.5,2.5,2.5,3.0,3.0,3.5,2.5,3.0,3.0,2.0,3.5,2.5,2.0,2.0,2.0
Kangaroo_UniformShifting_4.ply,3.0,2.5,3.0,2.5,2.5,3.0,3.0,2.5,3.5,3.0,2.5,3.0,2.5,2.0,2.5,2.5
HouseWithoutRoof_QuantizationNoise_1.ply,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.5,4.0,3.5,4.5,3.5,4.0,4.0,4.5,4.5
Baldness_lossless-geom-lossy-attrs_3.ply,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,4.5,4.0
Kangaroo_lossless-geom-lossy-attrs_4.ply,5.0,4.5,5.0,5.0,4.5,5.0,5.0,4.5,5.0,4.5,5.0,5.0,5.0,5.0,4.5,4.5
StreetRoad_SaltpepperNoise_4.ply,3.0,2.0,2.0,3.0,2.0,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5
QQdog_MeanShift_3.ply,4.5,2.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,3.5
RpManuelAnimated001Dancing_UniformShifting_4.ply,3.0,2.0,2.5,2.5,2.0,2.5,3.0,2.0,2.5,3.0,2.0,2.5,3.0,2.0,2.0,3.0
TibetanFox_LocalLoss_4.ply,2.5,1.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.5,1.5,1.5,1.5
bristleback_GaussianNoise_3.ply,3.5,2.5,3.5,3.0,3.5,4.0,4.0,3.5,3.5,3.0,4.0,3.0,3.5,4.0,3.5,4.0
RpDennisPosed004_LocalOffset_4.ply,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0
basketballplayer_lossless-geom-nearlossless-attrs_7.ply,2.0,1.0,1.5,1.5,2.0,3.0,2.0,1.5,2.0,2.5,1.5,2.0,2.0,2.0,1.5,1.0
ScarletSnake_lossy-geom-lossy-attrs_4.ply,4.5,5.0,4.5,5.0,4.0,5.0,4.5,5.0,4.0,4.5,4.5,4.5,5.0,5.0,4.0,4.0
SpiderMonkey_LocalLoss_3.ply,3.0,1.5,3.0,1.5,2.0,1.5,3.5,2.0,2.5,2.5,3.0,3.0,3.0,3.0,2.5,3.0
HearNoEvilMonkey_SaturationDistortion_2.ply,4.5,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
soldier_C2AI-lossy-geom-lossless-attrs_7.ply,2.0,2.5,2.0,2.0,3.0,3.0,3.0,2.5,2.5,3.0,4.0,2.0,2.5,2.0,2.5,2.0
Caffe_C2AI-lossy-geom-lossless-attrs_4.ply,4.0,5.0,3.5,4.0,4.5,3.5,3.5,3.0,3.5,3.0,4.0,3.5,4.0,4.0,3.5,3.5
Cat_PoissonNoise_6.ply,4.5,3.0,4.5,4.5,4.0,4.0,4.0,3.5,3.5,3.0,3.0,3.5,4.0,4.0,4.0,4.0
BirdV2_losslessG-lossyA_6.ply,3.5,2.5,3.5,2.5,3.5,3.5,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.5,3.5,3.0
Mario_reconstruction_4.ply,4.5,4.5,4.0,5.0,4.0,4.5,4.5,4.5,3.5,3.0,5.0,4.0,4.5,3.0,3.5,4.5
Fish_reconstruction_5.ply,4.5,3.5,4.0,4.0,3.5,4.0,4.0,4.5,4.0,4.0,5.0,2.5,4.0,4.0,4.0,4.5
BB8New_LocalOffset_3.ply,3.0,2.0,3.0,1.5,1.5,2.0,2.5,2.5,2.0,2.5,3.0,2.0,3.0,2.5,2.0,3.0
Caffe_GaussianShifting_1.ply,4.5,3.5,5.0,5.0,4.5,4.5,4.0,5.0,4.5,4.0,4.5,4.5,5.0,4.0,4.5,4.5
BricksWall_GammaNoise_4.ply,3.5,3.0,4.0,3.0,3.5,4.0,3.5,3.5,3.5,3.0,4.0,3.0,4.0,3.0,3.0,3.5
Facade00009_LocalLoss_5.ply,1.0,1.0,3.0,1.5,1.0,1.0,1.5,1.5,1.5,1.5,3.0,1.5,2.5,1.5,1.0,1.5
aya_lossless-geom-lossy-attrs_6.ply,4.0,3.5,4.0,3.5,4.5,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.5,4.0,4.0
Fish_reconstruction_7.ply,4.0,3.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,5.0,2.5,3.0,4.0,4.0,3.5
Facade00064_losslessG-limitlossyA_7.ply,1.0,1.5,1.5,2.5,1.5,2.0,2.0,2.5,2.0,2.0,3.0,1.0,2.5,2.5,1.0,1.5
Statue_limitlossyG-lossyA_4.ply,4.5,3.5,4.5,5.0,4.5,4.5,4.0,4.5,4.0,4.0,5.0,5.0,4.5,5.0,4.5,4.0
Caffe_CorrelatedGaussianNoise_2.ply,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,3.5,3.5
BricksWall_GammaNoise_1.ply,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5
aya_limitlossyG-lossyA_4.ply,4.5,2.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,3.5,3.5
RpDennisPosed004_UniformNoise_4.ply,4.0,2.5,3.5,3.0,3.5,4.0,4.0,4.0,3.0,3.0,3.5,3.5,4.0,3.5,3.0,3.0
RpMeiPosed001_C2AI-lossy-geom-lossless-attrs_5.ply,3.0,1.5,2.0,2.5,2.0,2.0,2.5,2.0,2.0,3.0,2.5,2.0,2.5,2.0,1.5,2.0
Mario_reconstruction_5.ply,4.5,4.5,4.5,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.5,4.0,3.0,3.5,3.0
Soccer_MeanShift_1.ply,4.5,3.5,4.5,5.0,4.0,4.5,4.0,4.5,4.0,3.5,4.5,3.0,4.0,4.0,4.5,4.0
RpClaudiaRigged_UniformNoise_3.ply,4.0,3.0,3.5,3.0,3.5,3.5,4.0,4.0,3.5,3.0,3.5,3.0,3.5,3.5,3.5,3.5
MuteSwan_lossless-geom-lossy-attrs_3.ply,5.0,5.0,5.0,5.0,3.5,5.0,4.0,3.5,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.5
aya_lossless-geom-lossy-attrs_7.ply,3.0,2.0,3.5,3.0,3.5,3.0,3.5,2.5,3.0,3.5,3.5,3.0,3.0,3.5,2.5,2.5
QQdog_C2AI-lossy-geom-lossless-attrs_7.ply,3.0,2.0,3.0,2.0,2.5,3.0,3.5,3.0,2.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0
loot_SaltpepperNoise_4.ply,2.5,2.0,2.5,3.0,3.0,2.5,2.5,2.0,2.5,3.0,2.5,2.5,3.0,2.5,2.5,2.5
HouseWithoutRoof_LocalLoss_1.ply,3.0,4.0,4.5,3.0,2.0,5.0,5.0,2.0,4.5,4.5,4.5,4.5,5.0,5.0,3.5,5.0
EmperorPenguin_DownSample_6.ply,3.0,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,2.5,3.5,3.0
CatV1_PoissonNoise_7.ply,3.0,2.5,4.0,4.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,4.0,3.5
basketballplayer_losslessG-limitlossyA_6.ply,3.0,3.0,3.5,3.0,3.5,3.5,4.0,3.5,2.5,3.0,3.5,3.0,3.5,3.5,3.0,3.0
loot_ChromaticAberration_1.ply,3.0,2.0,3.5,2.5,2.5,2.5,2.5,3.0,2.0,2.5,2.5,3.0,3.0,3.0,2.0,2.0
jetanima_UniformShifting_5.ply,3.0,3.0,3.5,1.5,1.5,2.0,2.0,2.0,3.0,3.0,4.0,2.5,3.0,3.5,1.5,2.0
GermanBoxer_SaltpepperNoise_3.ply,3.5,2.0,3.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.5,3.0
BirdV6_ChromaticAberration_3.ply,3.0,2.0,3.0,2.0,2.0,2.5,2.0,3.0,2.0,2.5,2.5,2.0,3.0,2.5,2.0,2.5
Rock1_Octree_2.ply,3.0,3.0,2.0,2.5,3.0,3.5,3.0,4.0,2.5,3.0,3.5,2.0,3.0,3.0,2.0,3.0
Rock1_SaturationDistortion_5.ply,2.5,2.0,3.0,2.0,3.0,3.0,2.5,3.0,2.0,2.5,2.5,2.5,2.5,2.5,3.5,3.0
Horse_SaturationDistortion_5.ply,2.5,2.0,3.0,2.0,2.5,3.0,2.5,3.0,2.0,2.5,2.5,2.5,2.5,2.5,3.5,2.5
Handcream_lossless-geom-lossy-attrs_4.ply,5.0,4.5,4.0,4.5,5.0,4.5,4.0,4.5,4.5,4.0,5.0,4.5,4.5,5.0,4.5,4.0
Facade00009_GaussianNoise_5.ply,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.5,2.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0
RpMeiPosed001_LocalRotation_4.ply,2.0,1.0,2.0,1.5,1.5,1.0,1.0,2.0,2.0,1.5,1.5,1.5,2.0,3.0,1.5,1.5
RpMeiPosed001_C2AI-lossy-geom-lossless-attrs_7.ply,2.0,1.5,2.0,1.5,2.0,2.0,3.0,2.0,2.0,2.5,2.0,3.0,2.5,2.0,2.0,1.5
bristleback_MultiplicativeGaussianNoise_5.ply,3.5,1.5,3.5,3.0,3.0,3.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0
ParrotV1_lossless-geom-nearlossless-attrs_7.ply,3.0,2.0,3.0,2.5,3.0,2.5,3.0,3.0,2.5,3.0,2.5,3.0,3.0,3.0,2.5,3.0
4armsMonstre_Octree_1.ply,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.0,4.0,3.5,3.5,4.0,4.0,3.5
Statue_PoissonNoise_3.ply,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,3.5,3.0,4.0,4.0,4.0,4.0,4.0,3.5
Beagle_LumaNoise_4.ply,4.0,2.5,4.0,4.5,3.5,3.5,3.5,3.5,3.0,3.0,2.5,3.0,3.5,4.0,3.5,4.0
Asterix_reconstruction_3.ply,3.5,4.0,4.5,4.5,4.0,4.5,4.5,4.0,4.0,3.0,4.5,4.5,4.0,4.0,3.0,4.5
HorseV2_UniformNoise_5.ply,4.0,3.0,4.0,4.0,4.5,4.0,4.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,3.5,3.5
Horse_GaussianNoise_3.ply,3.5,2.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,2.5,3.0,3.0,2.5,3.0
GermanBoxer_GaussianNoise_5.ply,3.5,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.5,3.0,3.5,3.0,3.0,3.5
Birdv1_MeanShift_7.ply,2.5,2.5,3.5,2.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5,3.0,2.5,2.5,3.0,3.0
BirdV6_Octree_4.ply,2.0,2.0,2.0,2.5,1.5,2.5,2.5,3.0,2.5,2.5,3.0,2.5,3.0,2.5,2.0,2.5
dancer_QuantizationNoise_5.ply,3.5,2.5,3.5,3.0,3.5,4.0,3.5,4.0,3.0,3.0,3.5,3.0,3.0,3.5,3.5,3.0
matilda_GaussianShifting_2.ply,3.0,3.0,3.0,3.5,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,2.5
Baldness_limitlossyG-lossyA_4.ply,4.0,3.0,3.5,4.0,3.5,4.0,4.0,3.5,2.5,3.5,4.0,4.0,3.5,4.0,3.5,3.5
EasternHognoseSnake_DownSample_7.ply,3.5,3.0,3.0,3.0,2.5,3.0,3.0,3.5,3.0,3.0,3.5,2.0,3.5,3.0,2.5,2.0
Handcream_C2AI-lossy-geom-lossy-attrs_4.ply,5.0,5.0,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,5.0,4.0,4.0
queen_SaturationDistortion_3.ply,3.0,2.5,3.5,3.0,3.0,3.0,3.0,3.5,2.5,2.5,2.5,3.0,3.0,2.5,3.0,3.0
QQdog_ColorQuantizationDither_6.ply,3.5,2.5,3.0,3.5,2.5,3.5,3.0,3.5,2.5,3.0,4.0,3.5,3.5,3.0,3.0,3.5
model_HighFrequencyNoise_6.ply,3.0,2.5,2.0,3.0,3.0,3.0,3.0,2.5,2.5,3.0,2.0,3.0,3.0,3.0,2.0,3.0
aya_limitlossyG-lossyA_6.ply,2.0,2.0,2.0,2.5,1.5,2.0,2.0,2.0,1.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0
Truck_lossy-geom-lossy-attrs_6.ply,2.5,2.0,2.5,3.0,3.5,3.5,3.0,3.5,3.0,2.5,4.0,3.0,3.0,2.5,2.5,4.0
Duck_RayleighNoise_4.ply,3.0,2.0,3.0,3.0,3.5,3.0,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.0,3.0,3.5
Facade00064_GaussianNoise_7.ply,1.0,1.5,1.5,1.0,1.0,1.0,2.0,1.5,2.0,2.0,1.5,1.0,2.5,2.0,1.0,1.5
BricksWall_limitlossyG-lossyA_6.ply,1.5,1.5,1.5,1.5,2.0,1.5,2.0,2.0,1.5,2.0,2.5,2.0,3.0,2.0,1.0,2.0
soldier_LumaNoise_4.ply,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.0,2.5,2.5,3.0,3.5,3.0,3.5,3.5
Facade00009_RayleighNoise_1.ply,4.5,5.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.0,4.0,4.0,4.5
HorseV2_UniformNoise_4.ply,4.0,4.0,4.0,3.5,4.5,4.0,4.0,4.5,3.5,3.5,4.5,3.5,4.0,4.0,3.5,4.0
StreetRoad_SaltpepperNoise_7.ply,3.0,2.0,2.5,3.0,2.5,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,2.5,2.5,2.5
AustralianCattleDog_limitlossyG-lossyA_5.ply,3.0,2.0,3.0,3.0,3.5,2.5,3.0,3.5,3.0,2.5,3.5,2.5,3.5,2.5,3.0,3.5
BirdV3_MultiplicativeGaussianNoise_7.ply,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,2.0
queen_ColorNoise_7.ply,3.5,2.0,3.0,3.0,3.0,3.5,3.5,3.0,2.5,3.0,3.0,2.0,3.0,3.0,2.5,3.0
Man_C2AI-lossy-geom-lossy-attrs_7.ply,3.0,3.0,3.0,3.0,3.5,4.0,3.5,3.5,2.5,3.5,4.0,2.5,4.0,3.5,3.5,3.5
banjofrog_limitlossyG-lossyA_5.ply,3.0,2.0,3.0,3.5,3.0,2.5,3.0,3.0,2.0,2.5,3.0,2.5,3.5,2.5,3.0,3.0
aya_PoissonNoise_6.ply,4.0,3.0,3.0,3.0,3.5,4.5,4.0,3.0,3.0,3.5,3.5,3.5,3.5,4.0,3.5,3.5
EmperorPenguin_DownSample_3.ply,4.5,3.5,4.0,5.0,4.5,4.5,4.0,4.0,4.0,4.0,4.5,3.5,4.0,4.0,4.0,4.0
RpClaudiaRigged_ChromaticAberration_3.ply,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,1.5,2.5,2.5,3.0,3.0,2.5,2.0,2.0
Dragon_LocalRotation_1.ply,4.0,3.0,3.0,2.5,2.0,2.5,3.5,3.0,2.5,2.5,5.0,5.0,3.0,3.0,3.0,4.5
Rock1_ContrastDistortion_2.ply,3.0,2.0,3.0,2.5,2.5,2.5,3.5,2.5,2.0,3.0,2.5,1.0,2.5,2.5,2.0,3.0
Handcream_LumaNoise_1.ply,4.5,4.5,4.5,5.0,4.0,5.0,4.0,4.0,4.0,3.5,5.0,4.0,4.0,4.5,4.5,4.0
lowpolycarsset2_ChromaticAberration_4.ply,2.5,2.0,3.0,2.0,2.0,2.0,2.5,3.0,2.0,2.5,2.5,2.0,2.5,2.5,2.0,2.0
Thaidancer_ContrastDistortion_3.ply,3.0,2.5,3.5,2.5,3.0,4.0,3.5,3.5,3.0,3.0,2.5,3.0,3.0,3.5,4.0,3.5
BirdV2_losslessG-lossyA_5.ply,4.0,3.0,3.5,3.5,3.5,4.0,3.5,4.0,3.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0
BirdV6_ChromaticAberration_1.ply,3.0,2.5,3.5,2.5,2.5,2.0,3.0,3.0,2.0,2.5,2.5,2.5,3.0,3.0,2.5,2.5
ToyDog_MultiplicativeGaussianNoise_4.ply,3.5,3.0,3.5,3.0,3.5,4.0,4.0,3.5,2.5,3.5,4.0,3.0,3.5,3.5,3.0,3.5
Horse_GaussianNoise_4.ply,3.0,2.0,3.0,3.0,3.0,3.0,3.5,3.0,2.5,3.0,3.0,3.0,3.0,3.0,2.0,3.0
AustralianCattleDog_limitlossyG-lossyA_7.ply,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,2.5,1.5,1.0,2.5,2.0,1.5,2.0
HorseV2_GaussianShifting_3.ply,3.0,3.0,3.0,3.5,4.5,3.5,3.5,3.5,3.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0
ToyDog_reconstruction_5.ply,2.5,3.5,3.0,2.5,4.5,3.0,3.0,2.0,2.5,2.5,3.5,3.0,3.0,3.0,3.5,4.0
Wood_Octree_1.ply,3.0,2.5,2.5,2.5,3.0,4.0,3.0,3.0,2.0,2.5,2.0,2.5,3.5,3.0,3.0,3.5
Rock1_lossless-geom-lossy-attrs_7.ply,3.0,2.0,2.0,2.5,3.5,3.0,3.5,3.0,2.0,3.0,3.5,3.0,3.5,3.5,2.0,2.5
Dragon_LocalRotation_2.ply,3.5,5.0,3.0,2.5,2.0,2.5,3.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,4.5
DuckV1_reconstruction_6.ply,4.0,4.0,4.0,4.0,3.0,3.5,3.5,3.5,3.0,3.0,4.5,4.0,3.5,4.5,4.0,3.0
RpDennisPosed004_ColorQuantizationDither_3.ply,4.0,3.0,3.5,4.0,3.5,4.5,4.0,4.0,3.5,3.5,4.0,4.0,3.5,4.0,4.0,3.5
4armsMonstre_Octree_2.ply,3.5,3.0,3.5,3.0,3.0,4.0,3.5,3.5,3.0,2.5,4.0,3.0,3.5,3.5,3.5,3.0
GermanBoxer_GaussianNoise_7.ply,3.0,2.0,3.0,3.0,3.0,3.0,3.5,3.0,2.5,3.0,2.5,2.5,3.0,3.0,3.0,3.0
Duck_CorrelatedGaussianNoise_3.ply,3.5,3.0,3.5,3.0,3.5,3.5,4.0,4.0,3.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5
SeaTurtle_HighFrequencyNoise_6.ply,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.5,3.5,3.0,3.5,3.0,4.0,3.5,3.5,3.5
Mario_GaussianShifting_1.ply,4.5,4.0,4.0,5.0,4.0,5.0,5.0,4.5,4.0,4.0,4.5,5.0,5.0,4.5,4.0,4.5
lowpolycarsset2_lossy-geom-lossy-attrs_4.ply,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.0,4.0,5.0,3.5,4.0,4.0,4.0,4.0
Caffe_ContrastDistortion_1.ply,4.5,3.5,4.0,4.5,3.5,4.5,4.0,5.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,4.0
RpMeiPosed001_C2AI-lossy-geom-lossless-attrs_3.ply,3.0,2.5,2.0,3.0,3.0,2.5,3.5,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0
HearNoEvilMonkey_SaturationDistortion_5.ply,3.0,2.5,3.5,2.5,3.0,3.0,2.5,3.0,2.0,2.5,2.5,3.0,3.0,2.5,3.0,3.0
Mario_Octree_4.ply,2.5,2.0,2.5,2.5,3.0,3.0,2.5,2.5,2.0,2.5,2.0,2.5,3.0,2.5,2.0,3.0
model_ColorNoise_3.ply,3.5,3.5,4.0,3.0,5.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,4.0,4.0,4.0,4.0
longdress_lossy-geom-lossy-attrs_4.ply,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.5,4.5,4.0,4.0
exercise_RayleighNoise_3.ply,4.0,3.0,3.0,3.0,3.5,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.5
model_SaltpepperNoise_3.ply,2.5,2.0,2.0,3.0,3.0,3.0,3.5,2.5,2.0,3.0,2.0,2.5,3.0,3.0,2.0,2.5
Asterix_MultiplicativeGaussianNoise_5.ply,3.0,2.0,2.0,3.0,2.0,2.5,3.0,2.5,2.0,2.5,2.0,2.0,3.0,2.0,2.5,2.0
longdress_RayleighNoise_3.ply,3.5,3.0,3.0,3.0,3.5,4.0,3.5,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0
Facade00064_LocalRotation_1.ply,3.0,1.5,3.0,2.0,1.5,1.5,2.0,2.0,3.0,2.5,3.0,3.0,3.0,3.0,2.5,2.0
Thaidancer_C2AI-lossy-geom-lossy-attrs_4.ply,5.0,4.5,4.5,4.5,3.5,4.0,3.5,3.5,3.5,4.0,5.0,3.5,5.0,4.0,3.5,3.5
lowpolycarsset2_ChromaticAberration_5.ply,2.5,3.0,3.0,2.5,2.0,2.0,2.0,2.5,2.0,2.5,2.0,2.0,2.5,2.0,2.5,3.0
Facade00009_LocalLoss_3.ply,2.0,2.0,2.5,2.0,1.5,2.0,2.5,2.0,2.5,2.0,3.0,2.0,2.5,2.0,2.0,2.0
RpMeiPosed001_LocalRotation_1.ply,2.5,2.0,2.0,2.0,1.5,1.5,3.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.0
Statue_HighFrequencyNoise_6.ply,3.5,3.0,3.0,3.5,3.0,3.0,4.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5
ScarletSnake_C2AI-lossy-geom-lossless-attrs_4.ply,4.0,4.5,2.5,4.0,3.5,4.0,3.5,3.0,3.5,3.5,4.0,3.0,3.5,3.0,3.0,4.5
lowpolycarsset1_ChromaticAberration_4.ply,3.0,2.5,2.5,2.5,2.5,3.0,2.5,3.0,2.5,3.0,2.5,2.5,3.0,3.5,3.0,4.0
BirdV2_losslessG-lossyA_3.ply,5.0,5.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,5.0,4.0,5.0,5.0,4.5,4.5
