name,mos,class
p07_gpcc-octree-predlift_r03.ply,2.664384082,human
p07_gpcc-octree-predlift_r04.ply,3.73758783,human
p07_gpcc-octree-predlift_r05.ply,4.220238452,human
p07_gpcc-octree-predlift_r06.ply,4.607404622,human
p07_gpcc-octree-raht_r02.ply,1.245858544,human
p07_gpcc-octree-raht_r03.ply,2.336955342,human
p07_gpcc-octree-raht_r04.ply,3.214282756,human
p07_gpcc-octree-raht_r05.ply,4.318583015,human
p07_gpcc-octree-raht_r06.ply,4.477436808,human
p07_vpcc_r00.ply,1.694025541,human
p07_vpcc_r01.ply,2.043938726,human
p07_vpcc_r02.ply,2.767239517,human
p07_vpcc_r03.ply,2.81291795,human
p07_vpcc_r04.ply,3.426279779,human
p07_vpcc_r05.ply,3.741378541,human
p08_geocnn_r01.ply,2.429087545,human
p08_geocnn_r02.ply,3.735764754,human
p08_geocnn_r03.ply,4.1367413,human
p08_geocnn_r04.ply,4.104904483,human
p08_gpcc-octree-predlift_r02.ply,1.614949602,human
p08_gpcc-octree-predlift_r03.ply,2.956578653,human
p08_gpcc-octree-predlift_r04.ply,3.732212392,human
p08_gpcc-octree-predlift_r05.ply,4.310254988,human
p08_gpcc-octree-predlift_r06.ply,4.391323219,human
p08_gpcc-octree-raht_r02.ply,1.267809571,human
p08_gpcc-octree-raht_r03.ply,2.604661488,human
p08_gpcc-octree-raht_r04.ply,3.239282824,human
p08_gpcc-octree-raht_r05.ply,4.124334682,human
p08_gpcc-octree-raht_r06.ply,4.431288022,human
p08_vpcc_r00.ply,1.789625175,human
p08_vpcc_r01.ply,2.602180168,human
p08_vpcc_r02.ply,3.172447138,human
p08_vpcc_r03.ply,3.426271716,human
p08_vpcc_r04.ply,3.368283843,human
p08_vpcc_r05.ply,3.856686918,human
p09_geocnn_r01.ply,2.029279045,human
p09_geocnn_r02.ply,3.358737123,human
p09_geocnn_r03.ply,3.986305935,human
p09_geocnn_r04.ply,3.430914241,human
p09_gpcc-octree-predlift_r02.ply,1.401000599,human
p09_gpcc-octree-predlift_r03.ply,2.444660481,human
p09_gpcc-octree-predlift_r04.ply,3.863616255,human
p09_gpcc-octree-predlift_r05.ply,4.387176025,human
p09_gpcc-octree-predlift_r06.ply,4.449430409,human
p09_gpcc-octree-raht_r02.ply,1.142261459,human
p09_gpcc-octree-raht_r03.ply,2.247466686,human
p09_gpcc-octree-raht_r04.ply,3.750752886,human
p09_gpcc-octree-raht_r05.ply,4.363485841,human
p09_gpcc-octree-raht_r06.ply,4.597731404,human
p09_vpcc_r00.ply,1.625237576,human
p09_vpcc_r01.ply,2.280851516,human
p09_vpcc_r02.ply,2.529170141,human
p09_vpcc_r03.ply,2.772501702,human
p09_vpcc_r04.ply,3.520804745,human
p09_vpcc_r05.ply,3.375537066,human
p10_geocnn_r01.ply,2.741973317,human
p10_geocnn_r02.ply,3.687188368,human
p10_geocnn_r03.ply,3.952811549,human
p10_geocnn_r04.ply,4.007884046,human
p10_gpcc-octree-predlift_r02.ply,1.68182911,human
p10_gpcc-octree-predlift_r03.ply,3.276278475,human
p10_gpcc-octree-predlift_r04.ply,4.089330433,human
p10_gpcc-octree-predlift_r05.ply,4.429640202,human
p10_gpcc-octree-predlift_r06.ply,4.490733055,human
p10_gpcc-octree-raht_r02.ply,1.673145022,human
p10_gpcc-octree-raht_r03.ply,2.684987908,human
p10_gpcc-octree-raht_r04.ply,3.951900556,human
p10_gpcc-octree-raht_r05.ply,4.277341627,human
p10_gpcc-octree-raht_r06.ply,4.463327317,human
p10_vpcc_r00.ply,2.155001879,human
p10_vpcc_r01.ply,2.686806095,human
p10_vpcc_r02.ply,2.971406972,human
p10_vpcc_r03.ply,3.337996488,human
p10_vpcc_r04.ply,3.906752786,human
p10_vpcc_r05.ply,3.627788851,human
p11_geocnn_r01.ply,3.88200433,human
p11_geocnn_r02.ply,4.537771165,human
p11_geocnn_r03.ply,4.504031983,human
p11_geocnn_r04.ply,4.572834115,human
p11_gpcc-octree-predlift_r02.ply,1.070866284,human
p11_gpcc-octree-predlift_r03.ply,2.554534638,human
p11_gpcc-octree-predlift_r04.ply,3.827356888,human
p11_gpcc-octree-predlift_r05.ply,4.362759031,human
p11_gpcc-octree-predlift_r06.ply,4.622727406,human
p11_gpcc-octree-raht_r02.ply,1.016054407,human
p11_gpcc-octree-raht_r03.ply,2.337383266,human
p11_gpcc-octree-raht_r04.ply,3.479571814,human
p11_gpcc-octree-raht_r05.ply,4.12015804,human
p11_gpcc-octree-raht_r06.ply,4.643584519,human
p11_vpcc_r00.ply,1.345042904,human
p11_vpcc_r01.ply,2.353175845,human
p11_vpcc_r02.ply,3.004930275,human
p11_vpcc_r03.ply,3.948607401,human
p11_vpcc_r04.ply,4.511691748,human
p11_vpcc_r05.ply,4.749850785,human
p12_geocnn_r01.ply,4.004743764,human
p12_geocnn_r02.ply,4.508023762,human
p12_geocnn_r03.ply,4.683268972,human
p12_geocnn_r04.ply,4.584501777,human
p12_gpcc-octree-predlift_r02.ply,1.12023301,human
p12_gpcc-octree-predlift_r03.ply,2.60103778,human
p12_gpcc-octree-predlift_r04.ply,4.376467069,human
p12_gpcc-octree-predlift_r05.ply,4.374841898,human
p12_gpcc-octree-predlift_r06.ply,4.560960805,human
p12_gpcc-octree-raht_r02.ply,1.073013545,human
p12_gpcc-octree-raht_r03.ply,2.384475294,human
p12_gpcc-octree-raht_r04.ply,4.166650611,human
p12_gpcc-octree-raht_r05.ply,4.324023611,human
p12_gpcc-octree-raht_r06.ply,4.653177178,human
p12_vpcc_r00.ply,1.538794575,human
p12_vpcc_r01.ply,2.529579896,human
p12_vpcc_r02.ply,3.634924067,human
p12_vpcc_r03.ply,4.2143288,human
p12_vpcc_r04.ply,4.675421878,human
p12_vpcc_r05.ply,4.577799137,human
p13_geocnn_r01.ply,4.397285973,human
p13_geocnn_r02.ply,4.749222043,human
p13_geocnn_r03.ply,4.52930976,human
p13_geocnn_r04.ply,4.760916783,human
p13_gpcc-octree-predlift_r02.ply,1.169041892,human
p13_gpcc-octree-predlift_r03.ply,2.793494279,human
p13_gpcc-octree-predlift_r04.ply,4.135520299,human
p13_gpcc-octree-predlift_r05.ply,4.385423323,human
p13_gpcc-octree-predlift_r06.ply,4.700205396,human
p13_gpcc-octree-raht_r02.ply,1.189886341,human
p13_gpcc-octree-raht_r03.ply,2.047754439,human
p13_gpcc-octree-raht_r04.ply,3.733995808,human
p13_gpcc-octree-raht_r05.ply,4.321068329,human
p13_gpcc-octree-raht_r06.ply,4.668912938,human
p13_vpcc_r00.ply,2.086822812,human
p13_vpcc_r01.ply,2.670653304,human
p13_vpcc_r02.ply,3.609993966,human
p13_vpcc_r03.ply,4.14788763,human
p13_vpcc_r04.ply,4.580640163,human
p13_vpcc_r05.ply,4.712939572,human
p14_geocnn_r01.ply,3.99564186,human
p14_geocnn_r02.ply,4.337330008,human
p14_geocnn_r03.ply,4.310728641,human
p14_geocnn_r04.ply,4.721048267,human
p14_gpcc-octree-predlift_r02.ply,1.584797152,human
p14_gpcc-octree-predlift_r03.ply,2.732650656,human
p14_gpcc-octree-predlift_r04.ply,4.270138757,human
p14_gpcc-octree-predlift_r05.ply,4.43985921,human
p14_gpcc-octree-predlift_r06.ply,4.707596131,human
p14_gpcc-octree-raht_r02.ply,1.069515614,human
p14_gpcc-octree-raht_r03.ply,2.237668987,human
p14_gpcc-octree-raht_r04.ply,4.026194984,human
p14_gpcc-octree-raht_r05.ply,4.423296956,human
p14_gpcc-octree-raht_r06.ply,4.628177778,human
p14_vpcc_r00.ply,1.905396137,human
p14_vpcc_r01.ply,2.925509267,human
p14_vpcc_r02.ply,4.074741931,human
p14_vpcc_r03.ply,4.496460765,human
p14_vpcc_r04.ply,4.587799339,human
p14_vpcc_r05.ply,4.666712553,human
p15_geocnn_r01.ply,3.802830182,human
p15_geocnn_r02.ply,4.234789546,human
p15_geocnn_r03.ply,4.392337298,human
p15_geocnn_r04.ply,4.741608558,human
p15_gpcc-octree-predlift_r02.ply,1.156445885,human
p15_gpcc-octree-predlift_r03.ply,2.665226549,human
p15_gpcc-octree-predlift_r04.ply,3.754185506,human
p15_gpcc-octree-predlift_r05.ply,4.140685274,human
p15_gpcc-octree-predlift_r06.ply,4.366881467,human
p15_gpcc-octree-raht_r02.ply,1.068003615,human
p15_gpcc-octree-raht_r03.ply,1.984553407,human
p15_gpcc-octree-raht_r04.ply,3.789858429,human
p15_gpcc-octree-raht_r05.ply,4.25115864,human
p15_gpcc-octree-raht_r06.ply,4.370478464,human
p15_vpcc_r00.ply,1.698180704,human
p15_vpcc_r01.ply,2.520133106,human
p15_vpcc_r02.ply,3.37380684,human
p15_vpcc_r03.ply,3.938183521,human
p15_vpcc_r04.ply,4.509965038,human
p15_vpcc_r05.ply,4.510948759,human
p16_geocnn_r01.ply,3.552647301,human
p16_geocnn_r02.ply,4.212292379,human
p16_geocnn_r03.ply,4.521001686,human
p16_geocnn_r04.ply,4.743963609,human
p16_gpcc-octree-predlift_r02.ply,1.27869442,human
p16_gpcc-octree-predlift_r03.ply,2.433873287,human
p16_gpcc-octree-predlift_r04.ply,3.66608148,human
p16_gpcc-octree-predlift_r05.ply,4.365441735,human
p16_gpcc-octree-predlift_r06.ply,4.431473303,human
p16_gpcc-octree-raht_r02.ply,1.195388085,human
p16_gpcc-octree-raht_r03.ply,2.246403739,human
p16_gpcc-octree-raht_r04.ply,3.544566745,human
p16_gpcc-octree-raht_r05.ply,4.161042373,human
p16_gpcc-octree-raht_r06.ply,4.368667629,human
p16_vpcc_r00.ply,1.937142161,human
p16_vpcc_r01.ply,2.681927786,human
p16_vpcc_r02.ply,3.178123462,human
p16_vpcc_r03.ply,3.870856813,human
p16_vpcc_r04.ply,4.373700543,human
p16_vpcc_r05.ply,4.625763547,human
p17_geocnn_r01.ply,3.661395304,human
p17_geocnn_r02.ply,3.950030388,human
p17_geocnn_r03.ply,4.11852455,human
p17_geocnn_r04.ply,4.737644396,human
p17_gpcc-octree-predlift_r02.ply,1.190927175,human
p17_gpcc-octree-predlift_r03.ply,2.460974677,human
p17_gpcc-octree-predlift_r04.ply,3.718113426,human
p17_gpcc-octree-predlift_r05.ply,4.264385222,human
p17_gpcc-octree-predlift_r06.ply,4.572005771,human
p17_gpcc-octree-raht_r02.ply,1.039336585,human
p17_gpcc-octree-raht_r03.ply,2.014437359,human
p17_gpcc-octree-raht_r04.ply,3.252036909,human
p17_gpcc-octree-raht_r05.ply,4.1988695,human
p17_gpcc-octree-raht_r06.ply,4.501220589,human
p17_vpcc_r00.ply,1.353734422,human
p17_vpcc_r01.ply,2.255687513,human
p17_vpcc_r02.ply,3.066268539,human
p17_vpcc_r03.ply,3.682521254,human
p17_vpcc_r04.ply,4.258422947,human
p17_vpcc_r05.ply,4.603250231,human
p18_geocnn_r01.ply,3.836707208,human
p18_geocnn_r02.ply,3.974905933,human
p18_geocnn_r03.ply,4.504401097,human
p18_geocnn_r04.ply,4.491485763,human
p18_gpcc-octree-predlift_r02.ply,1.345530792,human
p18_gpcc-octree-predlift_r03.ply,3.188122285,human
p18_gpcc-octree-predlift_r04.ply,4.361911799,human
p18_gpcc-octree-predlift_r05.ply,4.432571439,human
p18_gpcc-octree-predlift_r06.ply,4.722847711,human
p18_gpcc-octree-raht_r02.ply,1.125865377,human
p18_gpcc-octree-raht_r03.ply,2.771285447,human
p18_gpcc-octree-raht_r04.ply,3.92759366,human
p18_gpcc-octree-raht_r05.ply,4.488007211,human
p18_gpcc-octree-raht_r06.ply,4.437161822,human
p18_vpcc_r00.ply,2.450139389,human
p18_vpcc_r01.ply,3.395642867,human
p18_vpcc_r02.ply,3.8587383,human
p18_vpcc_r03.ply,4.672485879,human
p18_vpcc_r04.ply,4.726639719,human
p18_vpcc_r05.ply,4.660942587,human
p19_geocnn_r01.ply,4.500172289,animal
p19_geocnn_r02.ply,4.768703155,animal
p19_geocnn_r03.ply,4.765387763,animal
p19_geocnn_r04.ply,4.756210344,animal
p19_gpcc-octree-predlift_r02.ply,1.55720854,animal
p19_gpcc-octree-predlift_r03.ply,3.259934112,animal
p19_gpcc-octree-predlift_r04.ply,4.702748772,animal
p19_gpcc-octree-predlift_r05.ply,4.7671284,animal
p19_gpcc-octree-predlift_r06.ply,4.774380397,animal
p19_gpcc-octree-raht_r02.ply,1.450345998,animal
p19_gpcc-octree-raht_r03.ply,2.843957503,animal
p19_gpcc-octree-raht_r04.ply,4.407436192,animal
p19_gpcc-octree-raht_r05.ply,4.685190766,animal
p19_gpcc-octree-raht_r06.ply,4.834236123,animal
p19_vpcc_r00.ply,1.766439047,animal
p19_vpcc_r01.ply,2.461122742,animal
p19_vpcc_r02.ply,3.877446044,animal
p19_vpcc_r03.ply,4.530490415,animal
p19_vpcc_r04.ply,4.821499311,animal
p19_vpcc_r05.ply,4.746732117,animal
p20_geocnn_r01.ply,3.788032841,animal
p20_geocnn_r02.ply,4.284703593,animal
p20_geocnn_r03.ply,4.434833028,animal
p20_geocnn_r04.ply,4.525419998,animal
p20_gpcc-octree-predlift_r02.ply,1.643533265,animal
p20_gpcc-octree-predlift_r03.ply,2.523025726,animal
p20_gpcc-octree-predlift_r04.ply,3.928207194,animal
p20_gpcc-octree-predlift_r05.ply,4.517857821,animal
p20_gpcc-octree-predlift_r06.ply,4.607569602,animal
p20_gpcc-octree-raht_r02.ply,1.401573282,animal
p20_gpcc-octree-raht_r03.ply,2.570518911,animal
p20_gpcc-octree-raht_r04.ply,3.792747786,animal
p20_gpcc-octree-raht_r05.ply,4.388009535,animal
p20_gpcc-octree-raht_r06.ply,4.643334905,animal
p20_vpcc_r00.ply,2.09774313,animal
p20_vpcc_r01.ply,2.335826909,animal
p20_vpcc_r02.ply,3.027331744,animal
p20_vpcc_r03.ply,3.610711079,animal
p20_vpcc_r04.ply,4.108881408,animal
p20_vpcc_r05.ply,4.635942175,animal
p21_geocnn_r01.ply,3.946688025,animal
p21_geocnn_r02.ply,4.373589429,animal
p21_geocnn_r03.ply,4.449977026,animal
p21_geocnn_r04.ply,4.80727069,animal
p21_gpcc-octree-predlift_r02.ply,1.759401582,animal
p21_gpcc-octree-predlift_r03.ply,2.840334544,animal
p21_gpcc-octree-predlift_r04.ply,4.298433275,animal
p21_gpcc-octree-predlift_r05.ply,4.605269689,animal
p21_gpcc-octree-predlift_r06.ply,4.743918961,animal
p21_gpcc-octree-raht_r02.ply,1.663663183,animal
p21_gpcc-octree-raht_r03.ply,3.048362007,animal
p21_gpcc-octree-raht_r04.ply,3.963536046,animal
p21_gpcc-octree-raht_r05.ply,4.554139962,animal
p21_gpcc-octree-raht_r06.ply,4.7338777,animal
p21_vpcc_r00.ply,2.354445134,animal
p21_vpcc_r01.ply,2.949839027,animal
p21_vpcc_r02.ply,3.554261046,animal
p21_vpcc_r03.ply,4.223110386,animal
p21_vpcc_r04.ply,4.726796145,animal
p21_vpcc_r05.ply,4.790481699,animal
p22_geocnn_r01.ply,3.824083366,animal
p22_geocnn_r02.ply,4.600005133,animal
p22_geocnn_r03.ply,4.721252716,animal
p22_geocnn_r04.ply,4.795471072,animal
p22_gpcc-octree-predlift_r02.ply,1.453748967,animal
p22_gpcc-octree-predlift_r03.ply,3.091482139,animal
p22_gpcc-octree-predlift_r04.ply,4.414727483,animal
p22_gpcc-octree-predlift_r05.ply,4.586039251,animal
p22_gpcc-octree-predlift_r06.ply,4.718973124,animal
p22_gpcc-octree-raht_r02.ply,1.303641336,animal
p22_gpcc-octree-raht_r03.ply,2.615146539,animal
p22_gpcc-octree-raht_r04.ply,4.413740312,animal
p22_gpcc-octree-raht_r05.ply,4.690551093,animal
p22_gpcc-octree-raht_r06.ply,4.639478251,animal
p22_vpcc_r00.ply,1.994442264,animal
p22_vpcc_r01.ply,2.74768197,animal
p22_vpcc_r02.ply,3.740342992,animal
p22_vpcc_r03.ply,4.592665732,animal
p22_vpcc_r04.ply,4.676959562,animal
p22_vpcc_r05.ply,4.758027444,animal
p23_geocnn_r01.ply,4.256738653,animal
p23_geocnn_r02.ply,4.652610484,animal
p23_geocnn_r03.ply,4.430030656,animal
p23_geocnn_r04.ply,4.832279222,animal
p23_gpcc-octree-predlift_r02.ply,2.153345486,animal
p23_gpcc-octree-predlift_r03.ply,3.394906012,animal
p23_gpcc-octree-predlift_r04.ply,4.651033134,animal
p23_gpcc-octree-predlift_r05.ply,4.670677228,animal
p23_gpcc-octree-predlift_r06.ply,4.654118473,animal
p23_gpcc-octree-raht_r02.ply,1.683271436,animal
p23_gpcc-octree-raht_r03.ply,3.151949631,animal
p23_gpcc-octree-raht_r04.ply,4.52411065,animal
p23_gpcc-octree-raht_r05.ply,4.682844312,animal
p23_gpcc-octree-raht_r06.ply,4.744206937,animal
p23_vpcc_r00.ply,2.404582314,animal
p23_vpcc_r01.ply,3.322950027,animal
p23_vpcc_r02.ply,3.948556469,animal
p23_vpcc_r03.ply,4.368789444,animal
p23_vpcc_r04.ply,4.758783685,animal
p23_vpcc_r05.ply,4.526182335,animal
p24_geocnn_r01.ply,4.223448741,animal
p24_geocnn_r02.ply,4.591167959,animal
p24_geocnn_r03.ply,4.599592104,animal
p24_geocnn_r04.ply,4.633445826,animal
p24_gpcc-octree-predlift_r02.ply,1.489248169,animal
p24_gpcc-octree-predlift_r03.ply,2.931534579,animal
p24_gpcc-octree-predlift_r04.ply,4.208053246,animal
p24_gpcc-octree-predlift_r05.ply,4.560614544,animal
p24_gpcc-octree-predlift_r06.ply,4.580295712,animal
p24_gpcc-octree-raht_r02.ply,1.235113047,animal
p24_gpcc-octree-raht_r03.ply,2.441391366,animal
p24_gpcc-octree-raht_r04.ply,3.764998845,animal
p24_gpcc-octree-raht_r05.ply,4.449062109,animal
p24_gpcc-octree-raht_r06.ply,4.689903043,animal
p24_vpcc_r00.ply,1.693126121,animal
p24_vpcc_r01.ply,2.427174033,animal
p24_vpcc_r02.ply,3.105811518,animal
p24_vpcc_r03.ply,4.188638901,animal
p24_vpcc_r04.ply,4.419825103,animal
p24_vpcc_r05.ply,4.613597863,animal
p25_geocnn_r01.ply,4.379562061,animal
p25_geocnn_r02.ply,4.612874205,animal
p25_geocnn_r03.ply,4.749114321,animal
p25_geocnn_r04.ply,4.626742528,animal
p25_gpcc-octree-predlift_r02.ply,1.542373067,animal
p25_gpcc-octree-predlift_r03.ply,3.033568779,animal
p25_gpcc-octree-predlift_r04.ply,4.299779275,animal
p25_gpcc-octree-predlift_r05.ply,4.543072931,animal
p25_gpcc-octree-predlift_r06.ply,4.707708665,animal
p25_gpcc-octree-raht_r02.ply,1.51897925,animal
p25_gpcc-octree-raht_r03.ply,2.71990684,animal
p25_gpcc-octree-raht_r04.ply,3.983468697,animal
p25_gpcc-octree-raht_r05.ply,4.516184422,animal
p25_gpcc-octree-raht_r06.ply,4.816475129,animal
p25_vpcc_r00.ply,2.026276582,animal
p25_vpcc_r01.ply,2.622167367,animal
p25_vpcc_r02.ply,3.375209031,animal
p25_vpcc_r03.ply,4.339457603,animal
p25_vpcc_r04.ply,4.639259939,animal
p25_vpcc_r05.ply,4.674341228,animal
p26_geocnn_r01.ply,3.523156399,inanimate object
p26_geocnn_r02.ply,3.794443623,inanimate object
p26_geocnn_r03.ply,4.030388401,inanimate object
p26_geocnn_r04.ply,4.277576267,inanimate object
p26_gpcc-octree-predlift_r02.ply,1.203682991,inanimate object
p26_gpcc-octree-predlift_r03.ply,2.63521511,inanimate object
p26_gpcc-octree-predlift_r04.ply,4.122144992,inanimate object
p26_gpcc-octree-predlift_r05.ply,4.461635088,inanimate object
p26_gpcc-octree-predlift_r06.ply,4.612069736,inanimate object
p26_gpcc-octree-raht_r02.ply,1.118931872,inanimate object
p26_gpcc-octree-raht_r03.ply,1.973384531,inanimate object
p26_gpcc-octree-raht_r04.ply,3.921120619,inanimate object
p26_gpcc-octree-raht_r05.ply,4.521009979,inanimate object
p26_gpcc-octree-raht_r06.ply,4.569581879,inanimate object
p26_vpcc_r00.ply,1.751934589,inanimate object
p26_vpcc_r01.ply,2.882829187,inanimate object
p26_vpcc_r02.ply,3.55482374,inanimate object
p26_vpcc_r03.ply,4.179329773,inanimate object
p26_vpcc_r04.ply,4.696900782,inanimate object
p26_vpcc_r05.ply,4.664832252,inanimate object
p27_geocnn_r01.ply,3.51896975,inanimate object
p27_geocnn_r02.ply,4.426499827,inanimate object
p27_geocnn_r03.ply,4.44939006,inanimate object
p27_geocnn_r04.ply,4.720566973,inanimate object
p27_gpcc-octree-predlift_r02.ply,1.34406289,inanimate object
p27_gpcc-octree-predlift_r03.ply,3.100691438,inanimate object
p27_gpcc-octree-predlift_r04.ply,4.386814418,inanimate object
p27_gpcc-octree-predlift_r05.ply,4.478545686,inanimate object
p27_gpcc-octree-predlift_r06.ply,4.556572199,inanimate object
p27_gpcc-octree-raht_r02.ply,1.207104028,inanimate object
p27_gpcc-octree-raht_r03.ply,2.847057316,inanimate object
p27_gpcc-octree-raht_r04.ply,3.879792144,inanimate object
p27_gpcc-octree-raht_r05.ply,4.660069674,inanimate object
p27_gpcc-octree-raht_r06.ply,4.621706196,inanimate object
p27_vpcc_r00.ply,2.733374048,inanimate object
p27_vpcc_r01.ply,3.3677365,inanimate object
p27_vpcc_r02.ply,3.920227191,inanimate object
p27_vpcc_r03.ply,4.368681952,inanimate object
p27_vpcc_r04.ply,4.564288034,inanimate object
p27_vpcc_r05.ply,4.608212709,inanimate object
p28_geocnn_r01.ply,4.009246405,inanimate object
